metric,value,unit
Annual capital recovery reduction,94.0590300656707,£m/yr
Capital recovery intensity reduction,62.706020043780455,£k/MW/yr
Reduction in capital service intensity,46.19511551921469,%
Applied to 3.9 GW Window 1 PSH portfolio,244.55347817074377,£m/yr
