storage_type,year,zone,generic_alf,generation_tariff_gbp_kwyr
Battery storage,2026/27,Zone 1 North Scotland,0.080542,4.711842423592
Pumped storage,2026/27,Zone 1 North Scotland,0.109859,6.007867134084
