financing_case,wacc,recovery_term_years,annual_capital_recovery_m,capital_recovery_intensity_k_mwyr
Private project finance,0.09,25,203.61250103714363,135.74166735809575
Public / low-cost backing,0.05,50,109.55347097147293,73.0356473143153
