project,technology,gross_revenue_k_mwyr,generation_tnuos_gbp_kwyr,tnuos_as_pct_of_gross_revenue
Field Long Stratton,Li-ion,319.275,4.711842423592,1.4757943539556808
Field Netherton,Li-ion,187.975,4.711842423592,2.5066324902737063
